quizid|pregunta|criterio|insuficiente|en_proceso|satisfactorio|destacado|puntaje_insuficiente|puntaje_en_proceso|puntaje_satisfactorio|puntaje_destacado
1530|1|Análisis de la interconexión y factores andragógicos|No identifica los factores andragógicos o la explicación sobre oportunidades/barreras es irrelevante|Describe superficialmente cómo dos factores (ej. Experiencia y Necesidades) influyen en el aprendizaje del adulto.|Analiza la interconexión de al menos dos factores (experiencia, necesidades, contexto, emociones) y explica, de manera clara, cómo estos generan oportunidades y/o barreras en la formación de adultos.|Analiza críticamente y con profundidad la interconexión de los factores andragógicos, detallando su potencial dual (oportunidades y barreras) en el contexto de la formación docente.|0.125|0.25|0.375|0.5
1530|1|Propuesta y justificación de estrategias innovadoras|Propone estrategias genéricas que no están vinculadas a la era digital, a factores andragógicos específicos, o carecen de justificación.|Propone dos estrategias digitales, pero la conexión con los factores andragógicos es débil, o la descripción de la implementación es incompleta.|Propone dos estrategias digitales innovadoras (ej. grupos de cocreación, itinerarios personalizados con IA) y las describe detalladamente, justificando su aplicación para aprovechar positivamente los factores elegidos (ej., experiencia, motivación/necesidades).|Propone dos estrategias digitales altamente innovadoras y pertinentes, justificando su implementación con precisión conceptual (ej., aprendizaje experiencial, necesidad de saber, autonomía) y el rol del formador como guía y facilitador.|0.25|0.5|0.75|1
1530|1|Lenguaje técnico y uso de fuentes|Ausencia de lenguaje técnico profesional y/o referencias a las fuentes del curso.|Emplea lenguaje técnico de forma inconsistente o las referencias a los principios de Knowles y la andragogía son escasas o genéricas.|Emplea lenguaje técnico adecuado y sustenta las afirmaciones principales con referencias claras a conceptos claves (ej., andragogía, autodirección, IA).|Emplea lenguaje técnico profesional de manera precisa y fluida, citando correctamente las fuentes para sustentar los fundamentos teóricos y las estrategias propuestas|0.125|0.25|0.375|0.5
1530|2|Estructura y profundidad de la reflexión|La narración es una descripción simple de los hechos, sin análisis o cuestionamiento|La reflexión se limita a la descripción de estrategias y métodos utilizados (Nivel superficial). Reconoce su responsabilidad, pero no hay un análisis profundo de creencias subyacentes.|La reflexión es pedagógica (Nivel pedagógico), conectando la práctica con marcos teóricos (ej. andragogía). Logra deconstruir la práctica al identificar supuestos o creencias.|La narración demuestra una reflexión crítica (Nivel crítico). Cuestiona sus propias creencias o supuestos, analiza las implicaciones y resignifica/reconstruye la práctica para la transformación.|0.25|0.5|0.75|1
1530|2|Integración de principios y competencias del formador|No menciona principios andragógicos o competencias del formador, o la mención es irrelevante|Identifica vagamente algunos principios andragógicos (ej. experiencia, autonomía) o competencias (ej. rol de guía) que aplicó.|Identifica y explica cómo aplicó varios principios andragógicos (ej. orientación a problemas, autoconcepto) y menciona las competencias del formador relevantes.|Demuestra la aplicación intencionada de principios andragógicos claves y varias funciones del formador, incluyendo la gestión emocional y modelando un rol de guía, facilitador y modelo a seguir.|0.25|0.5|0.75|1
1530|2|Transformación y lecciones aprendidas|No identifica una lección aprendida o no propone una mejora futura específica.|Identifica una lección superficial y propone una mejora genérica que no potencia la autonomía o el aprendizaje significativo.|Extrae una lección clave de la experiencia (ej., sobre el valor de la experimentación frente a la teoría) y propone una mejora futura concreta, justificando cómo esta potenciaría la autonomía y el aprendizaje significativo.|Cuestiona explícitamente una creencia previa y articula una lección aprendida profunda. La mejora propuesta es específica, innovadora y se orienta a la autocaptalización del proceso de formación (ej. uso de diarios de aprendizaje digital).|0.25|0.5|0.75|1
1530|2|Lenguaje técnico y uso de fuentes|Ausencia de lenguaje técnico o las referencias son inexistentes|El lenguaje y estilo se asemejan a un informe más que a una narración reflexiva, y el uso de citas es limitado o incorrecto.|Emplea un tono personal y reflexivo, utilizando terminología precisa (ej., deconstrucción, supuestos, aprendizaje experiencial) y citando fuentes para los conceptos claves.|Elabora una narración reflexiva coherente, personal y analítica, integrando el lenguaje técnico profesional con citas precisas y relevantes para todas las afirmaciones teóricas y reflexivas claves|0.25|0.5|0.75|1
1530|3|Diseño y detalle del plan de acción|El plan es genérico y no aborda las tres áreas solicitadas (estrategias, materiales, comunicación) en un contexto de diversidad.|El plan aborda las tres áreas de adaptación, pero es superficial o carece de la especificidad necesaria para asegurar la relevancia cultural y evitar exclusiones.|El plan es detallado y cubre las tres áreas (estrategias, materiales, comunicación), priorizando acciones como el diálogo reflexivo y el aprendizaje basado en casos locales|Presenta un plan de acción concreto y exhaustivo, con estrategias, materiales y comunicación interconectadas. Las acciones propuestas están claramente diseñadas para una región con diversidad sociocultural y lingüística|0.25|0.5|0.75|1
1530|3|Justificación conceptual|La justificación es inexistente o se basa en opiniones personales, sin conexión con el marco teórico del curso.|Identifica el factor de contexto sociocultural y/o la competencia del formador para gestionar una convivencia democrática e intercultural, pero la justificación de las acciones es vaga o incompleta.|Justifica las acciones propuestas al conectarlas con el factor de contexto sociocultural (ej. abordando normas culturales y valores sociales) y la competencia del formador para gestionar una convivencia democrática e intercultural|Justifica sólidamente todas las acciones, demostrando una comprensión profunda de la competencia para gestionar una convivencia democrática e intercultural se operacionaliza para responder al Contexto Sociocultural y evitar sesgos|0.25|0.5|0.75|1
1530|3|Estrategias de inclusión y accesibilidad|No se mencionan estrategias de inclusión o accesibilidad, o estas son irrelevantes para el entorno digital/cultural.|Menciona la importancia de la inclusión, pero las estrategias propuestas (ej. recursos multilingües) carecen de detalle o de un marco teórico explícito.|Propone estrategias concretas de accesibilidad (ej. uso de recursos multilingües o Diseño Universal para el Aprendizaje (DUA)), asegurando que la formación sea culturalmente relevante.|Integra y aplica consistentemente principios de DUA (múltiples medios de representación/expresión/compromiso), garantizando que la formación respete la diversidad sociocultural y lingüística y fomente la valoración de diferentes experiencias y perspectivas.|0.25|0.5|0.75|1
1530|3|Lenguaje técnico y uso de fuentes|Ausencia de lenguaje técnico profesional y/o referencias a las fuentes del curso.|Emplea lenguaje técnico de forma inconsistente o las referencias son escasas o genéricas.|Emplea lenguaje técnico adecuado y cita fuentes de manera clara para sustentar conceptos clave (ej. contexto sociocultural, Competencia 1, DUA).|Emplea lenguaje técnico profesional de manera precisa y fluida (ej. diálogo reflexivo intercultural, autonomía colegiada), citando correctamente el Marco del Formador y los factores de aprendizaje adulto para todas las afirmaciones clave|0.25|0.5|0.75|1
1531|1|Identificación y explicación de principios éticos quebrantados|No identifica principios éticos o la identificación es incorrecta/irrelevante.|Identifica 1 o 2 principios éticos, pero la explicación es superficial, genérica o con debilidades en la argumentación y/o referencias a las fuentes.|Identifica y explica al menos 2 principios éticos, con argumentos claros, pero con menor profundidad o exhaustividad en la explicación y las referencias.|Identifica y explica de forma exhaustiva al menos 3 principios éticos fundamentales (ej. integridad, honestidad, responsabilidad, respeto, compromiso) que Pedro quebrantó, con argumentos sólidos y referenciando las fuentes de manera precisa.|0.25|0.5|0.75|1
1531|1|Análisis de implicaciones (confianza, credibilidad, modelo a seguir)|No analiza las implicaciones o lo hace de forma incorrecta/irrelevante.|El análisis de las implicaciones es superficial, incompleto o se limita a describir sin una conexión crítica con los principios éticos y/o las fuentes.|Analiza las implicaciones principales para la confianza, credibilidad y rol de modelo, con argumentos claros, pero con menor detalle o conexión explícita con los principios éticos y/o las fuentes.|Analiza críticamente las implicaciones profundas y detalladas del actuar de Pedro para la confianza en el programa, la credibilidad del MINEDU y su rol como modelo a seguir, conectando cada implicación con los principios éticos y el rol del formador, sustentado en las fuentes.|0.125|0.375|0.25|0.5
1531|1|Lenguaje técnico profesional y uso de fuentes|Ausencia de lenguaje técnico profesional y/o citas.|El lenguaje técnico es inconsistente o las citas son escasas, genéricas o incorrectas.|Emplea lenguaje técnico adecuado y cita fuentes, aunque con alguna imprecisión o falta de exhaustividad en las referencias.|Emplea lenguaje técnico profesional de manera precisa y fluida, citando las fuentes de forma correcta y relevante para todas las afirmaciones clave.|0.125|0.375|0.25|0.5
1531|2|Acciones Concretas y Justificadas (Sanción y Reorientación)|No propone acciones o las propuestas son incorrectas/irrelevantes.|Las acciones son genéricas, insuficientemente justificadas, desequilibradas entre sanción/reorientación, o con débil conexión con el marco teórico del curso.|Propone acciones de sanción y reorientación, pero con menor detalle, justificación o equilibrio entre ambas, o la conexión con el marco ético/normativo y principios andragógicos es menos explícita|Propone un plan de acción concreto, detallado y equilibrado que incluye medidas de sanción (justificadas por la gravedad de la falta) y de posible reorientación profesional para Pedro, explicando el propósito de cada una y sustentándolas en el marco ético y normativo, así como en los principios de formación de adultos|0.25|0.5|0.75|1
1531|2|Plan de Comunicación (Equipo y Comunidad Educativa)|No presenta un plan de comunicación o es irrelevante.|El plan de comunicación es superficial, incompleto o no considera adecuadamente la audiencia o los objetivos de restaurar la confianza y reforzar valores.|El plan de comunicación es presente y aborda la audiencia clave, pero con menor detalle en el "qué" y "cómo", o con menor énfasis en la restauración de la confianza y el refuerzo de valores.|Diseña un plan de comunicación estratégico y empático para el equipo de formadores y la comunidad educativa, detallando qué comunicar y cómo, con el objetivo claro de restaurar la confianza, reforzar valores éticos y el compromiso con la calidad, utilizando habilidades blandas y principios del rol del formador.|0.125|0.375|0.25|0.5
1531|2|Lenguaje Técnico Profesional y Uso de Fuentes|Ausencia de lenguaje técnico profesional y/o citas.|El lenguaje técnico es inconsistente o las citas son escasas, genéricas o incorrectas.|Emplea lenguaje técnico adecuado y cita fuentes, aunque con alguna imprecisión o falta de exhaustividad en las referencias.|Emplea lenguaje técnico profesional de manera precisa y fluida, citando las fuentes de forma correcta y relevante para todas las afirmaciones clave.|0.125|0.375|0.25|0.5
1605|1|Análisis de la interconexión y factores andragógicos|No identifica los factores andragógicos o la explicación sobre oportunidades/barreras es irrelevante|Describe superficialmente cómo dos factores (ej. Experiencia y Necesidades) influyen en el aprendizaje del adulto.|Analiza la interconexión de al menos dos factores (experiencia, necesidades, contexto, emociones) y explica, de manera clara, cómo estos generan oportunidades y/o barreras en la formación de adultos.|Analiza críticamente y con profundidad la interconexión de los factores andragógicos, detallando su potencial dual (oportunidades y barreras) en el contexto de la formación docente.|0.125|0.25|0.375|0.5
1605|1|Propuesta y justificación de estrategias innovadoras|Propone estrategias genéricas que no están vinculadas a la era digital, a factores andragógicos específicos, o carecen de justificación.|Propone dos estrategias digitales, pero la conexión con los factores andragógicos es débil, o la descripción de la implementación es incompleta.|Propone dos estrategias digitales innovadoras (ej. grupos de cocreación, itinerarios personalizados con IA) y las describe detalladamente, justificando su aplicación para aprovechar positivamente los factores elegidos (ej., experiencia, motivación/necesidades).|Propone dos estrategias digitales altamente innovadoras y pertinentes, justificando su implementación con precisión conceptual (ej., aprendizaje experiencial, necesidad de saber, autonomía) y el rol del formador como guía y facilitador.|0.25|0.5|0.75|1
1605|1|Lenguaje técnico y uso de fuentes|Ausencia de lenguaje técnico profesional y/o referencias a las fuentes del curso.|Emplea lenguaje técnico de forma inconsistente o las referencias a los principios de Knowles y la andragogía son escasas o genéricas.|Emplea lenguaje técnico adecuado y sustenta las afirmaciones principales con referencias claras a conceptos claves (ej., andragogía, autodirección, IA).|Emplea lenguaje técnico profesional de manera precisa y fluida, citando correctamente las fuentes para sustentar los fundamentos teóricos y las estrategias propuestas|0.125|0.25|0.375|0.5
1605|2|Estructura y profundidad de la reflexión|La narración es una descripción simple de los hechos, sin análisis o cuestionamiento|La reflexión se limita a la descripción de estrategias y métodos utilizados (Nivel superficial). Reconoce su responsabilidad, pero no hay un análisis profundo de creencias subyacentes.|La reflexión es pedagógica (Nivel pedagógico), conectando la práctica con marcos teóricos (ej. andragogía). Logra deconstruir la práctica al identificar supuestos o creencias.|La narración demuestra una reflexión crítica (Nivel crítico). Cuestiona sus propias creencias o supuestos, analiza las implicaciones y resignifica/reconstruye la práctica para la transformación.|0.25|0.5|0.75|1
1605|2|Integración de principios y competencias del formador|No menciona principios andragógicos o competencias del formador, o la mención es irrelevante|Identifica vagamente algunos principios andragógicos (ej. experiencia, autonomía) o competencias (ej. rol de guía) que aplicó.|Identifica y explica cómo aplicó varios principios andragógicos (ej. orientación a problemas, autoconcepto) y menciona las competencias del formador relevantes.|Demuestra la aplicación intencionada de principios andragógicos claves y varias funciones del formador, incluyendo la gestión emocional y modelando un rol de guía, facilitador y modelo a seguir.|0.25|0.5|0.75|1
1605|2|Transformación y lecciones aprendidas|No identifica una lección aprendida o no propone una mejora futura específica.|Identifica una lección superficial y propone una mejora genérica que no potencia la autonomía o el aprendizaje significativo.|Extrae una lección clave de la experiencia (ej., sobre el valor de la experimentación frente a la teoría) y propone una mejora futura concreta, justificando cómo esta potenciaría la autonomía y el aprendizaje significativo.|Cuestiona explícitamente una creencia previa y articula una lección aprendida profunda. La mejora propuesta es específica, innovadora y se orienta a la autocaptalización del proceso de formación (ej. uso de diarios de aprendizaje digital).|0.25|0.5|0.75|1
1605|2|Lenguaje técnico y uso de fuentes|Ausencia de lenguaje técnico o las referencias son inexistentes|El lenguaje y estilo se asemejan a un informe más que a una narración reflexiva, y el uso de citas es limitado o incorrecto.|Emplea un tono personal y reflexivo, utilizando terminología precisa (ej., deconstrucción, supuestos, aprendizaje experiencial) y citando fuentes para los conceptos claves.|Elabora una narración reflexiva coherente, personal y analítica, integrando el lenguaje técnico profesional con citas precisas y relevantes para todas las afirmaciones teóricas y reflexivas claves|0.25|0.5|0.75|1
1605|3|Diseño y detalle del plan de acción|El plan es genérico y no aborda las tres áreas solicitadas (estrategias, materiales, comunicación) en un contexto de diversidad.|El plan aborda las tres áreas de adaptación, pero es superficial o carece de la especificidad necesaria para asegurar la relevancia cultural y evitar exclusiones.|El plan es detallado y cubre las tres áreas (estrategias, materiales, comunicación), priorizando acciones como el diálogo reflexivo y el aprendizaje basado en casos locales|Presenta un plan de acción concreto y exhaustivo, con estrategias, materiales y comunicación interconectadas. Las acciones propuestas están claramente diseñadas para una región con diversidad sociocultural y lingüística|0.25|0.5|0.75|1
1605|3|Justificación conceptual|La justificación es inexistente o se basa en opiniones personales, sin conexión con el marco teórico del curso.|Identifica el factor de contexto sociocultural y/o la competencia del formador para gestionar una convivencia democrática e intercultural, pero la justificación de las acciones es vaga o incompleta.|Justifica las acciones propuestas al conectarlas con el factor de contexto sociocultural (ej. abordando normas culturales y valores sociales) y la competencia del formador para gestionar una convivencia democrática e intercultural|Justifica sólidamente todas las acciones, demostrando una comprensión profunda de la competencia para gestionar una convivencia democrática e intercultural se operacionaliza para responder al Contexto Sociocultural y evitar sesgos|0.25|0.5|0.75|1
1605|3|Estrategias de inclusión y accesibilidad|No se mencionan estrategias de inclusión o accesibilidad, o estas son irrelevantes para el entorno digital/cultural.|Menciona la importancia de la inclusión, pero las estrategias propuestas (ej. recursos multilingües) carecen de detalle o de un marco teórico explícito.|Propone estrategias concretas de accesibilidad (ej. uso de recursos multilingües o Diseño Universal para el Aprendizaje (DUA)), asegurando que la formación sea culturalmente relevante.|Integra y aplica consistentemente principios de DUA (múltiples medios de representación/expresión/compromiso), garantizando que la formación respete la diversidad sociocultural y lingüística y fomente la valoración de diferentes experiencias y perspectivas.|0.25|0.5|0.75|1
1605|3|Lenguaje técnico y uso de fuentes|Ausencia de lenguaje técnico profesional y/o referencias a las fuentes del curso.|Emplea lenguaje técnico de forma inconsistente o las referencias son escasas o genéricas.|Emplea lenguaje técnico adecuado y cita fuentes de manera clara para sustentar conceptos clave (ej. contexto sociocultural, Competencia 1, DUA).|Emplea lenguaje técnico profesional de manera precisa y fluida (ej. diálogo reflexivo intercultural, autonomía colegiada), citando correctamente el Marco del Formador y los factores de aprendizaje adulto para todas las afirmaciones clave|0.25|0.5|0.75|1
1606|1|Identificación y explicación de principios éticos quebrantados|No identifica principios éticos o la identificación es incorrecta/irrelevante.|Identifica 1 o 2 principios éticos, pero la explicación es superficial, genérica o con debilidades en la argumentación y/o referencias a las fuentes.|Identifica y explica al menos 2 principios éticos, con argumentos claros, pero con menor profundidad o exhaustividad en la explicación y las referencias.|Identifica y explica de forma exhaustiva al menos 3 principios éticos fundamentales (ej. integridad, honestidad, responsabilidad, respeto, compromiso) que Pedro quebrantó, con argumentos sólidos y referenciando las fuentes de manera precisa.|0.25|0.5|0.75|1
1606|1|Análisis de implicaciones (confianza, credibilidad, modelo a seguir)|No analiza las implicaciones o lo hace de forma incorrecta/irrelevante.|El análisis de las implicaciones es superficial, incompleto o se limita a describir sin una conexión crítica con los principios éticos y/o las fuentes.|Analiza las implicaciones principales para la confianza, credibilidad y rol de modelo, con argumentos claros, pero con menor detalle o conexión explícita con los principios éticos y/o las fuentes.|Analiza críticamente las implicaciones profundas y detalladas del actuar de Pedro para la confianza en el programa, la credibilidad del MINEDU y su rol como modelo a seguir, conectando cada implicación con los principios éticos y el rol del formador, sustentado en las fuentes.|0.125|0.375|0.25|0.5
1606|1|Lenguaje técnico profesional y uso de fuentes|Ausencia de lenguaje técnico profesional y/o citas.|El lenguaje técnico es inconsistente o las citas son escasas, genéricas o incorrectas.|Emplea lenguaje técnico adecuado y cita fuentes, aunque con alguna imprecisión o falta de exhaustividad en las referencias.|Emplea lenguaje técnico profesional de manera precisa y fluida, citando las fuentes de forma correcta y relevante para todas las afirmaciones clave.|0.125|0.375|0.25|0.5
1606|2|Acciones Concretas y Justificadas (Sanción y Reorientación)|No propone acciones o las propuestas son incorrectas/irrelevantes.|Las acciones son genéricas, insuficientemente justificadas, desequilibradas entre sanción/reorientación, o con débil conexión con el marco teórico del curso.|Propone acciones de sanción y reorientación, pero con menor detalle, justificación o equilibrio entre ambas, o la conexión con el marco ético/normativo y principios andragógicos es menos explícita|Propone un plan de acción concreto, detallado y equilibrado que incluye medidas de sanción (justificadas por la gravedad de la falta) y de posible reorientación profesional para Pedro, explicando el propósito de cada una y sustentándolas en el marco ético y normativo, así como en los principios de formación de adultos|0.25|0.5|0.75|1
1606|2|Plan de Comunicación (Equipo y Comunidad Educativa)|No presenta un plan de comunicación o es irrelevante.|El plan de comunicación es superficial, incompleto o no considera adecuadamente la audiencia o los objetivos de restaurar la confianza y reforzar valores.|El plan de comunicación es presente y aborda la audiencia clave, pero con menor detalle en el "qué" y "cómo", o con menor énfasis en la restauración de la confianza y el refuerzo de valores.|Diseña un plan de comunicación estratégico y empático para el equipo de formadores y la comunidad educativa, detallando qué comunicar y cómo, con el objetivo claro de restaurar la confianza, reforzar valores éticos y el compromiso con la calidad, utilizando habilidades blandas y principios del rol del formador.|0.125|0.375|0.25|0.5
1606|2|Lenguaje Técnico Profesional y Uso de Fuentes|Ausencia de lenguaje técnico profesional y/o citas.|El lenguaje técnico es inconsistente o las citas son escasas, genéricas o incorrectas.|Emplea lenguaje técnico adecuado y cita fuentes, aunque con alguna imprecisión o falta de exhaustividad en las referencias.|Emplea lenguaje técnico profesional de manera precisa y fluida, citando las fuentes de forma correcta y relevante para todas las afirmaciones clave.|0.125|0.375|0.25|0.5
1653|1|Estructura y profundidad de la reflexión|La narración es descriptiva (nivel 1) o anecdótica. Omite la identificación de las razones o los hechos no tienen una secuencia clara.|El relato tiene una secuencia, pero se centra en aspectos técnicos (nivel 2). Intenta identificar las razones o creencias, pero sin analizar las implicancias.|La reflexión se sitúa en el nivel pedagógico/crítico. Identifica las creencias o supuestos subyacentes y explica la causa-consecuencia de la práctica.|La reflexión es profunda y deconstruye los supuestos subyacentes. El texto modela el proceso de resignificación en la práctica.|0.1875|0.375|0.5625|0.75
1653|1|Integración de principios y competencias del formador|No menciona las competencias del MBDD, ni las habilidades blandas como recursos personales.|La estrategia se relaciona vagamente con la Competencia 8 del MBDD, pero no se mencionan los recursos personales actitudinales del formador.|La narración integra la estrategia con el desarrollo de la visión crítico-reflexiva (MBDD) y explica cómo los recursos personales (ej. empatía, comunicación asertiva) fueron usados intencionalmente.|Demuestra cómo la acción modeló una competencia y utilizó los recursos personales para generar autonomía y un clima propicio para la reflexión.|0.1875|0.375|0.5625|0.75
